일자,기온(°C),기온(°F),습도(%),열지수
19810710,23.6,74.4,74.1,23.58
19810711,23.4,74.1,78.8,23.37
19810712,22,71.6,93.6,22.01
19810713,24.3,75.8,79.9,24.33
19810714,25.1,77.3,80.8,25.15
19810715,26.9,80.3,80.4,29.45
19810716,28.1,82.5,76.5,31.72
19810717,27.6,81.7,82.5,31.46
19810718,27.9,82.2,79.1,31.7
19810719,27.1,80.8,77,29.7
19810720,26.4,79.5,81,26.41
19810721,26.1,78.9,80.1,26.06
19810722,26.8,80.2,78.6,29.13
19810723,27.5,81.4,81.3,30.96
19810724,28.2,82.8,76.1,32.03
19810725,29.3,84.8,74.6,34.39
19810726,29.2,84.5,78.6,34.87
19810727,25.6,78,88.1,25.56
19810728,26.2,79.2,82.6,26.22
19810729,26.8,80.2,83.6,29.57
19810730,28.8,83.8,75.4,33.15
19810731,30.4,86.8,65.8,34.99
19810801,27.9,82.3,72,30.77
19810802,27.2,80.9,81.3,30.22
19810803,26.4,79.5,84.9,26.38
19810804,26.9,80.3,69.6,28.59
19810805,23.7,74.7,52.1,23.71
19810806,23.3,74,66.3,23.34
19810807,21.6,70.8,80,21.58
19810808,23.4,74.1,82.1,23.37
19810809,26.2,79.1,76.1,26.19
19810810,24.7,76.5,80.4,24.72
19810811,26.3,79.4,72.6,26.31
19810812,25.2,77.3,73.3,25.18
19810813,25.9,78.6,71.6,25.86
19810814,27.6,81.6,64.8,29.3
19810815,26.4,79.5,54.1,26.41
19810816,26.2,79.2,64.1,26.22
19810817,25,77,84.9,25.01
19810818,25.4,77.8,87.4,25.45
19810819,26.3,79.4,77.9,26.31
19810820,24.3,75.8,85.8,24.33
19810821,24.2,75.6,81.3,24.2
19810822,24.4,75.9,76.9,24.39
19810823,23.9,74.9,68.4,23.86
19810824,23.9,75.1,71,23.95
19810825,21.3,70.3,87.9,21.29
19810826,22.1,71.7,85.6,22.06
19810827,23.7,74.7,73.8,23.7
19810828,24.6,76.3,62.5,24.64
19810829,24.8,76.6,63.4,24.8
19810830,23.6,74.5,80.9,23.59
19810831,19,66.2,89.4,19
19810901,18.3,64.9,91.6,18.25
19810902,22.2,72,79.4,22.2
19810903,20.7,69.2,80.4,20.66
19810904,20.5,69,66.1,20.54
19810905,21.4,70.6,69.4,21.44
19810906,22.3,72.1,64.5,22.29
19810907,22.5,72.6,64.9,22.54
19810908,21.9,71.4,71.1,21.89
19810909,19.8,67.7,76.4,19.83
19810910,20.2,68.4,73.6,20.24
19810911,20,67.9,69,19.96
19810912,17.5,63.6,67.4,17.54
19810913,16.8,62.2,59.8,16.77
19810914,17.2,62.9,57.4,17.16
19810915,17.8,64,63.4,17.76
19810916,18.1,64.6,68.3,18.12
19810917,20.1,68.1,71.8,20.06
19810918,21.4,70.5,77.6,21.4
19810919,20.8,69.4,79.6,20.78
19810920,22.3,72.1,73.3,22.27
19810921,23.3,74,70.8,23.32
