"관리기관별(1)","시점",원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),산불피해,산불피해,산불피해,산불피해,인명피해 (명),인명피해 (명),인명피해 (명)
"관리기관별(1)","시점",합계,입산자실화,규반소각,논밭두렁소각,쓰레기소각,담배불실화,성묘객실화,어린이불장난,건축물화재,기타,건수 (건),면적 (ha),재적 (㎥),피해액 (천원),합계,사망,부상
"인천광역시","2017",21,5,-,3,3,1,-,-,-,9,21,5.10,-,213395,-,-,-
"인천광역시","2018",16,1,-,3,6,1,1,-,-,4,16,1.13,34,53798,1,-,1
"인천광역시","2019",24,2,-,2,3,1,-,-,2,14,24,2.91,-,85530,-,-,-
"인천광역시","2020",14,5,-,2,2,5,-,-,-,-,14,12.12,-,579254,-,-,-
"인천광역시","2021",8,4,-,2,2,-,-,-,-,-,8,1.40,-,65270,-,-,-
"인천광역시","2022",8,1,-,-,-,1,-,-,-,6,8,1.11,-,53084,-,-,-
"광주광역시","1995",8,5,-,1,-,-,1,-,-,1,8,8.60,147,1909,-,-,-
"광주광역시","1996",12,8,-,-,-,-,-,1,-,3,12,49.40,148,4736,1,1,-
"광주광역시","1997",4,4,-,-,-,-,-,-,-,-,4,1.90,-,65,-,-,-
"광주광역시","1998",4,4,-,-,-,-,-,-,-,-,4,2.60,10,1520,-,-,-
"광주광역시","1999",5,4,-,1,-,-,-,-,-,-,5,3.70,-,21514,-,-,-
"광주광역시","2000",14,7,-,3,1,1,1,-,-,1,14,36.05,299,144895,-,-,-
"광주광역시","2001",16,4,-,7,1,2,-,2,-,-,16,11.85,531,8481,1,-,1
"광주광역시","2002",17,10,-,1,1,3,2,-,-,-,17,4.70,-,1885,-,-,-
"광주광역시","2003",6,3,-,-,2,-,1,-,-,-,6,1.07,-,2381,-,-,-
"광주광역시","2004",17,7,-,-,3,5,1,1,-,-,17,6.18,107,14681,1,1,-
"광주광역시","2005",23,6,-,7,2,4,1,2,-,1,-,6.45,30,11801,-,-,-
"광주광역시","2006",7,2,-,1,2,1,-,-,-,1,-,2.59,-,3490,-,-,-
"광주광역시","2007",14,6,0,6,-,1,-,-,-,1,14,5.85,-,9289,-,-,-
"광주광역시","2008",7,2,0,2,1,-,2,-,-,-,7,3.12,-,3250,-,-,-
"광주광역시","2009",10,6,0,1,2,-,-,-,-,1,10,6.40,82,6455,0,0,0
"광주광역시","2010",1,1,-,-,-,-,-,-,-,-,1,0.10,1,244,-,-,-
"광주광역시","2011",3,1,-,1,-,-,-,-,-,1,3,1.10,109,23177,-,-,-
"광주광역시","2012",2,1,-,1,-,-,-,-,-,-,2,0.46,4,20211,-,-,-
"광주광역시","2013",7,2,-,3,1,-,-,-,-,1,7,1.39,103,64202,-,-,-
"광주광역시","2014",7,-,-,3,1,1,-,-,-,2,7,0.51,-,25617,-,-,-
"광주광역시","2015",5,1,-,1,-,-,-,-,-,3,5,0.37,36,19004,-,-,-
"광주광역시","2016",1,-,-,1,-,-,-,-,-,-,1,0.03,-,3231,-,-,-
"광주광역시","2017",2,-,-,2,-,-,-,-,-,-,2,0.40,-,15845,-,-,-
"광주광역시","2018",3,-,-,2,-,-,-,-,-,1,3,0.50,14,17704,-,-,-
"광주광역시","2019",2,-,-,-,-,-,-,-,-,2,2,0.06,-,2512,-,-,-
"광주광역시","2020",2,1,-,-,1,-,-,-,-,-,2,0.19,-,8916,-,-,-
"광주광역시","2021",1,-,-,-,-,-,-,-,-,1,1,0.04,-,1861,-,-,-
"광주광역시","2022",4,1,-,-,-,-,-,-,-,3,4,0.24,-,12371,-,-,-
"대전광역시","1995",11,7,-,2,-,-,1,-,-,1,11,8.10,-,7530,-,-,-
"대전광역시","1996",3,3,-,-,-,-,-,-,-,-,3,3.50,-,2320,-,-,-
"대전광역시","1997",4,2,0,1,-,-,1,-,-,-,4,3.26,45,700,-,-,-
"대전광역시","1998",6,1,-,3,2,-,-,-,-,-,6,6.93,131,8765,-,-,-
"대전광역시","1999",5,3,-,-,-,-,-,1,-,1,5,2.81,44,1958,-,-,-
"대전광역시","2000",9,4,-,2,1,-,2,-,-,-,9,17.58,39,39159,-,-,-
"대전광역시","2001",47,26,-,11,2,4,1,1,-,2,47,13.42,300,14454,2,-,2
"대전광역시","2002",29,13,-,4,4,1,3,2,-,2,29,12.83,149,23796,2,1,1
"대전광역시","2003",12,2,-,4,2,-,3,1,-,-,12,19.65,376,49925,-,-,-
"대전광역시","2004",21,6,-,4,3,2,-,5,-,1,21,11.10,312,19780,-,-,-
"대전광역시","2005",16,4,-,6,1,3,-,2,-,-,-,11.28,339,36300,-,-,-
"대전광역시","2006",12,8,-,2,1,-,-,1,-,-,-,4.57,133,10985,1,1,-
"대전광역시","2007",11,3,0,4,-,-,1,-,-,3,11,5.54,184,24911,-,-,-
"대전광역시","2008",11,4,0,3,2,2,-,-,-,-,11,5.93,183,15499,-,-,-
"대전광역시","2009",6,2,0,-,3,-,1,-,-,-,6,8.62,194,22200,0,0,0
"대전광역시","2010",1,1,-,-,-,-,-,-,-,-,1,0.10,-,944,-,-,-
"대전광역시","2011",4,1,-,1,-,1,1,-,-,-,4,0.45,-,12341,1,-,1
"대전광역시","2012",3,-,-,-,-,-,-,1,-,2,3,0.21,-,19633,-,-,-
"대전광역시","2013",6,3,-,1,1,-,-,-,-,1,6,0.95,117,44821,-,-,-
"대전광역시","2014",7,2,-,2,-,-,-,1,-,2,7,2.43,160,88206,1,1,-
"대전광역시","2015",11,5,-,-,1,-,-,-,-,5,11,4.50,5,194772,2,-,2
"대전광역시","2016",3,1,-,-,2,-,-,-,-,-,3,5.01,-,354605,-,-,-
"대전광역시","2017",14,3,-,2,2,-,1,-,-,6,14,3.93,196,169849,-,-,-
"대전광역시","2018",5,-,-,1,-,-,1,-,-,3,5,0.21,1,16467,1,-,1
"대전광역시","2019",9,-,-,1,1,-,1,-,1,5,9,2.13,-,74550,-,-,-
"대전광역시","2020",3,-,-,1,-,-,1,-,1,-,3,0.33,-,15476,-,-,-
"대전광역시","2021",2,2,-,-,-,-,-,-,-,-,2,0.52,-,24087,-,-,-
"대전광역시","2022",2,-,-,-,-,-,-,-,-,2,2,0.02,-,1105,-,-,-
"울산광역시","1997",3,3,-,-,-,-,-,-,-,-,3,3.60,-,28473,-,-,-
"울산광역시","1998",7,6,-,-,-,-,1,-,-,-,7,39.40,-,79675,-,-,-
"울산광역시","1999",13,9,-,-,-,1,-,1,-,2,13,13.57,39,21602,-,-,-
"울산광역시","2000",12,9,-,1,1,-,-,1,-,-,12,83.03,322,193163,-,-,-
"울산광역시","2001",28,17,-,5,-,5,-,-,-,1,28,45.80,1026,124234,-,-,-
"울산광역시","2002",26,16,-,1,3,2,1,-,-,3,26,30.31,259,111172,-,-,-
"울산광역시","2003",13,10,-,1,-,1,-,-,-,1,13,4.14,104,9485,-,-,-
"울산광역시","2004",25,19,-,1,1,-,-,1,-,3,25,35.07,836,107272,-,-,-
"울산광역시","2005",13,9,-,2,1,-,-,1,-,-,-,18.11,198,67682,-,-,-
"울산광역시","2006",14,8,-,2,-,-,-,-,-,4,-,13.71,377,46715,-,-,-
"울산광역시","2007",12,6,0,2,2,-,-,-,-,2,12,10.92,169,33184,-,-,-
"울산광역시","2008",14,6,0,1,-,1,1,-,-,5,14,3.18,187,12694,-,-,-
"울산광역시","2009",25,5,0,2,-,1,-,-,-,17,25,36.73,1085,147418,0,0,0
"울산광역시","2010",12,6,-,1,2,-,1,-,-,2,12,10.74,282,41475,-,-,-
"울산광역시","2011",15,5,-,2,4,-,1,-,1,2,15,10.85,1068,394685,-,-,-
"울산광역시","2012",4,3,-,-,1,-,-,-,-,-,4,0.75,86,24950,-,-,-
"울산광역시","2013",14,1,-,1,4,-,1,2,-,5,14,319.99,44778,11565674,3,-,3
"울산광역시","2014",12,1,-,1,2,-,3,-,-,5,12,2.39,79,101302,-,-,-
"울산광역시","2015",6,2,-,1,-,-,1,-,-,2,6,1.50,153,62907,-,-,-
"울산광역시","2016",3,1,-,1,-,-,-,-,-,1,3,0.12,3,3853,-,-,-
