
폭염일수
[검색조건]
자료구분 : 월
지역/지점 : 충북
기간 : 1973~2022 05~09

년월,폭염일수,평균 최고기온(℃)
2018-08,17.0,32.5
2018-09,0.0,24.9
2019-05,1.4,26.1
2019-06,0.6,27.5
2019-07,3.8,29.2
2019-08,9.4,31.1
2019-09,0.0,26.2
2020-05,0.0,23.6
2020-06,2.2,28.5
2020-07,0.0,26.5
2020-08,4.0,30.3
2020-09,0.0,24.6
2021-05,0.0,21.9
2021-06,0.2,27.3
2021-07,10.6,31.2
2021-08,3.4,28.6
2021-09,0.0,25.5
2022-05,0.0,24.8
2022-06,1.6,27.9
2022-07,6.4,30.2
2022-08,2.2,28.4
2022-09,0.4,26.2

